Titre;Artiste;Adresse;Nomenclature de POIs;Coordonnées
« Les 5 Rocs »;Edmond Dubrunfaut;Rue de l’Almanach (Parc des 5 Rocs) - Calonne;Peinture;50.5795934390527, 3.4309012416702567
« Les acteurs du Maugré »;Edmond Dubrunfaut;Rue des Sables (mur de l’ancienne maison communale) - Maubray;Peinture;50.54967262427979, 3.499278220719731
« Selon le vent, la voile »;Naïs D’Hey;Rue des Ecoles (école communale) - Péronnes;Sculpture;50.55046196985816, 3.4549074722238244
« Le baiser »;Naïs D’Hey;Chemin de Saint-Druon,1 (centre administratif) - Antoing;Sculpture;50.562937405775386, 3.4533911873856544
« La sirène »;Edmond Dubrunfaut;Place du Préau (mur du café le Scaldis) - Antoing;Peinture;50.5671252123369, 3.44555375249463
« Que vive la terre »;Edmond Dubrunfaut;Rue de Péronnes (mur antibruit du TGV) - Antoing -;Peinture;50.559043891478126, 3.451215379126954
Le signal: « À la rencontre des chemins (terre, eau, feu) et des hommes. »;Edmond Dubrunfaut;Chaussée de Tournai (Près du cimetière) - Bruyelle;Sculpture;50.5597725839977, 3.425436768918434
« Les couseuses de sacs »;Joseph Lacasse;Chemin de Saint-Druon,1 (centre administratif) - Antoing;Tapisserie;50.562937405775386, 3.4533911873856544
« Fractal »;Sophie Ronse;Rue de l’Almanach (cimetière) - Calonne;Sculpture;50.5796464307251, 3.4331847579990455
« Sans mots »;Emile Desmedt;Rue du Burg (mur de la bibliothèque) - Antoing;Sculpture;50.56588558814532, 3.4484609688754
« Centre symbolique de la cité »;Edmond Dubrunfaut;Rue de Péronnes (rond-point du mur antibruit du TGV) - Antoing;Peinture;50.559530377909034, 3.450809878722675
« Loisirs et jeux d’antan»;Nicolae Groza;Rue Wattecant, 2 (bar du café le Scaldis) - Antoing;Peinture;50.5671252123369, 3.44555375249463
"« Antoing et son château en 1870""";Yves Garson;Rue des Atelier,4 - Antoing;Peinture;50.56302003920796, 3.4409793119131495
« Les mémoires d’un peuple »;Edmond Dubrunfaut;Rue du Burg (Foyer socioculturel) - Antoing;Peinture;50.56614625561025, 3.448350998309957
« Morphia »;Sophie Ronse;Chemin de Saint-Druon (cimetière) - Antoing;Sculpture;50.562937405775386, 3.4533911873856544
« Messieurs les Anglais, tirez les premiers... ...des salves de fleurs et de fraternité »;Naïs D’Hey;Rue de Gaurain (cimetière) - Fontenoy;Sculpture;50.57324118143586, 3.472934300461825
« Rond-point des droits de l’homme et de l’enfant »;Edmond Dubrunfaut;Rue du Coucou - Antoing;Peinture;50.5723233792211, 3.4442306038702126
« Rond-point Raoul Cauvin »;A.S.B.L Art Mural;Place du Préau - Antoing;Peinture;50.56747976364572, 3.4452834252490265
« L’action humaine »;Edmond Dubrunfaut;Rue de Péronnes (devant le mur antibruit du TGV) - Antoing;Sculpture;50.559140173253894, 3.4510432308981276
« Jeu de dames »;François Huon;Chemin du Moulin (mur près de la maison de retraite) - Antoing;Peinture;50.56364517222329, 3.4540091834090343
« La prairie au papillon »;Edmond Dubrunfaut;Rue de Maubray (Espace Paul Duvigneaud) - Fontenoy;Peinture;50.55859676949307, 3.47816541191381
« La colombe de la paix »;Joseph Lacasse;Chemin de Saint-Druon,1 (centre administratif) - Antoing;Tapisserie;50.562937405775386, 3.4533911873856544
« Péronnes »;Centre des jeunes;Rue de la Grande Campagne (passage sous la N52) - Antoing;Sculpture;50.55821139553849, 3.451680003861044
« Rond-point du Maugré - La haine de Cense »;Edmond Dubrunfaut;Chemin de Grand Camp - Maubray;Peinture;50.555338426853815, 3.5128249360822013
« Jeunesse en fleurs » le mur des générations;Edmond Dubrunfaut;Place Albert 1er (à côté de l’église) - Calonne;Peinture;50.57669325812821, 3.4396104663853166
« Pour qu'un enfant grandisse, il faut tout un village »;Naïs D’Hey;Rue du Petit Pavé (Place) - Bruyelle;Sculpture;50.55595151647107, 3.425374508310942
« Rond-point du Roctier »;Desnouckpol;Chaussée de la Sucrerie - Bruyelle;Sculpture;50.54880598064617, 3.4306666694623926
« À Clovis »;Desnouckpol;Rue des Ponts - Antoing;Sculpture;50.567509779947535, 3.441142925848632
« L’oiseau de paix »;Desnouckpol;Rue de Gaurain (cimetière) - Fontenoy;Sculpture;50.57324118143586, 3.472934300461825
« La plus belle fille du monde ne peut donner que ce qu'elle a. Si vous lui caressez le cœur, elle vous portera bonheur... »;Naïs D’Hey;Place Bara (en face de l’office du tourisme) - Antoing;Art dans la ville;50.565530480715665, 3.448675224423293
Fresque des jeunes;Centre des jeunes;Place Albert 1er (ancienne maison communale) - Calonne -;Peinture;50.57767606367446, 3.4379186919501956
« Un Mystérieux Dragon au Pays Blanc »;Naïs D’Hey;Rue Albert 1er - Calonne;Sculpture;50.57717021043974, 3.438131112058641
« Le long de l’Escaut »;Edmond Dubrunfaut;Rue Wattecant, 2 (mur intérieur du café le Scaldis) - Antoing;Peinture;50.5671252123369, 3.44555375249463
