X,Y,Afbeelding,Inventarisatiecode,Titel,Kunstenaar_s_,Toponiem,Wijk_Kern,Objecttype,Jaar,Omschrijving,Coordinaten,Latitude,Longitude,FID
485579.359795818,6797160.35160216,,23.5.51,3 variaties op een vierkant (1),,"Vinkenlaan, hoek Fuutlaan, naast busbaan",Tanthof,Kunstwerk,1988,"Om de inzichtelijkheid van de wijk Tanthof te vergroten, werden &lsquo;3 variaties op een vierkant&rsquo; als herkenningspunten geplaatst. Alle werken zijn van oorsprong roestvast stalen vierkante constructies, die zijn losgesneden en steeds op een andere manier zijn samengevoegd. Doordat alle beelden hetzelfde uitgangspunt hebben, vertonen ze onderlinge samenhang. De andere kunstwerken staan op de Ghandilaan en op de  Isra&euml;llaan, hoek Syri&euml;singel.
Bron:
A. Haase, L. ten Duis, Oude en nieuwe beelden in Delft, Delft 1996
&nbsp;",,51.983598254572,4.36203360557556,1
483654.4559362,6796362.0775569,,23.5.51.1,3 variaties op een vierkant (2),,"Israëllaan, hoek Syriësingel",Tanthof,Kunstwerk,1988,"Om de inzichtelijkheid van de wijk Tanthof te vergroten, werden &lsquo;3 variaties op een vierkant&rsquo; als herkenningspunten geplaatst. Alle werken zijn van oorsprong roestvast stalen vierkante constructies, die zijn losgesneden en steeds op een andere manier zijn samengevoegd. Doordat alle beelden hetzelfde uitgangspunt hebben, vertonen ze onderlinge samenhang. De andere kunstwerken staan op de Ghandilaan en op de  Vinkenlaan, hoek Fuutlaan.
Bron:
A. Haase, L. ten Duis, Oude en nieuwe beelden in Delft, Delft 1996
&nbsp;",,51.9791815,4.3447419,2
484432.80437154,6796690.98047535,,23.5.51.2,3 variaties op een vierkant (3),,"Ghandilaan, keerlus tramlijn 1",Tanthof,Kunstwerk,1988,"Om de inzichtelijkheid van de wijk Tanthof te vergroten, werden &lsquo;3 variaties op een vierkant&rsquo; als herkenningspunten geplaatst. Alle werken zijn van oorsprong roestvast stalen vierkante constructies, die zijn losgesneden en steeds op een andere manier zijn samengevoegd. Doordat alle beelden hetzelfde uitgangspunt hebben, vertonen ze onderlinge samenhang. De andere kunstwerken staan op de Isra&euml;llaan, hoek Syri&euml;singel en op de Vinkenlaan, hoek Fuutlaan.
Bron:
A. Haase, L. ten Duis, Oude en nieuwe beelden in Delft, Delft 1996
&nbsp;",,51.9810013331607,4.35173392295837,3
485180.321329007,6802694.00763915,,,A National Treasure,,Doelenplein,Binnenstad,Kunstwerk,2013,"Deze lamp refereert aan de historische relatie tussen het Chinees porselein en het Delfts blauw. Zusterstad Jingdezhen is de bakermat van het Chinees porselein en nog steeds de belangrijkste porseleinstad ter wereld. Het Delfts blauw is afgeleid van Chinees porselein.
De gemeente Delft heeft dit kunstwerk van de befaamde Chineese kunstenaar Wan Li Ya, aangekocht van Den Haag Sculptuur.&nbsp;Vorig jaar september was de lamp onderdeel van deze druk bezochte beeldenexpositie op de Lange Voorhout in Den Haag en leverde veel positieve reacties op vanwege het huiskamergevoel dat het kunstwerk oproept.
Het kunstwerk komt hier op het Doelenplein goed tot zijn recht en zal onder de platanen eenzelfde huiskamergevoel opwekken als op de Lange Voorhout.
WAN LIYA
In 1963 geboren in Qingdao in de provincie Shandong, China
Afgestudeerd aan het Qingdao Navigation College
Woont en werkt in Beijing, Jingdezhen en Qingdao
Wan Liya is met name ge&iuml;nteresseerd in de materialen keramiek en porselein. The National Treasure (2011), te zien op deze tentoonstelling, is gebaseerd op een waar gebeurd verhaal.
In 2002 werd een zeldzame oude Chinese vaas uit de Yongzheng-periode (1723-1735) op een veiling van Sotheby's in Hongkong voor 5,3 miljoen Amerikaanse dollar verkocht. Deze vaas was eigendom van de voorzitter van de Council of American Ambassadors, die hem weer had ge&euml;rfd van zijn moeder. De vaas was al tientallen jaren in het bezit van de familie, maar men kende de grote historische waarde ervan niet en had hem gewoon als lampvoet gebruikt.
Dit is niet het enige geval van een oude vaas die is getransformeerd tot gebruiksvoorwerp: andere vazen doen bijvoorbeeld dienst als paraplubak. Wan Liya is gefascineerd door dit soort culturele misvattingen of herinterpretaties. In zijn werk verkent hij vragen rond waardebepaling in een andere culturele context.",,52.014203338175,4.35844898203868,4
484719.44322761,6803308.75506485,,11.22.12,Beeldengroep,,"Nieuwe Plantage, in plantsoen",Binnenstad,Kunstwerk,1982,"Voordat deze beeldengroep werd gecre&euml;erd, experimenteerde beeldhouwer Cor Dam met de combinatie landschap en plastiek binnen een aantal fotomontages. In dit werk kon hij de inspiratie kwijt die hij tijdens dat onderzoek had opgedaan. Het beeld bestaat uit vier aparte elementen, die samen een kunstmatig landschap voorstellen. In het kunstwerk is te zien dat Dam zocht naar een bepaalde spanning in de vorm, waardoor het net lijkt of deze elk moment kan veranderen. Cor Dam maakte ook Blauw-geel keramiek object en de Muurschildering in het buurthuis aan de Sint Olofsstraat.

Bron:
A. Haase, L. ten Duis, Oude en nieuwe beelden in Delft, Delft 1996.",,52.0176020407256,4.35430884361267,5
483909.688459214,6799785.48579234,,25.7.64,Beeldengroepen Grotius College,,"Juniusstraat 8, Grotius College",Buitenhof,Kunstwerk,1976,"Ter gelegenheid van de nieuwbouw van het Grotius College mocht de Delftse beeldhouwster Renske Morks een aantal beeldengroepen realiseren. Behalve het kunstwerk naast de ingang zijn er nog twee beeldengroepen van de hand van Morks op het binnengebied van de school. De beelden vertonen samenhang door de inhoud en maat, aldus de beeldhouwster. De beelden zijn vermoedelijk in 1976 geplaatst.
Bron: Archief Delft, archief Openbare Werken Gemeentelijk archief &nbsp;",,51.9981197365607,4.34703469276428,6
488044.80252861,6804105.42188856,,16.1.36,Bladerachtige vorm,,Surfeiland,Delftse Hout,Kunstwerk,1984,"Marianne Burgers maakte dit werk net na haar afstuderen aan de Hogeschool voor de Kunsten in Den Haag. Ze was toen erg bezig met het thema &lsquo;natuur&rsquo;. Ze baseerde zich voor dit werk op natuurlijke elementen, speelde met de vorm, en plaatste die weer terug in de natuur. Marianne Burgers: &ldquo;Het kunstwerk werkt vervreemdend in de natuur. Mensen vragen zich af wat het is, terwijl het werk is ge&iuml;nspireerd op de natuur.&rdquo;
Marianne Burgers maakte ook de Hommage aan Gaud&iacute;.
&nbsp;",,52.0220061217011,4.38418105446544,7
484728.147443294,6800385.74493651,,23.4.50,Blauw-geel keramiek object,,Nijverheidsstraat,Voorhof,Kunstwerk,2003,"Het abstracte object, dat diende als herkenningspunt in de buurt, stond aanvankelijk aan de Lepelaarstraat vanaf 1983. In 2003 werd het kunstwerk ter adoptie aangeboden. Elke buurt of straat in Delft kon reageren; er kwamen ruim 30 reacties binnen. Na overleg werd besloten in te gaan op het verzoek van de Vereniging van Eigenaren Westlandseweg; het kunstwerk werd herplaatst aan de Nijverheidsstraat.
Cor Dam maakte ook de Beeldengroep en de Muurschildering in het buurthuis aan de Sint Olofsstraat.
Bron:
WikiDelft (www.wikidelft.nl)
&nbsp;",,52.0014395347978,4.35438703491252,8
485234.199022209,6803969.41771386,,12.7.31,Bloem-Joris terrein,,"Sint Jorisweg 2, naast ingang St. Joris Gasthuis",Vrijenban,Kunstwerk,1972,,,52.0212543030879,4.35893297359144,9
487153.186264925,6801580.56162847,,28.4.97,Borstbeeld Hendrik Zwang,,Frisoplein,Wippolder,Monument,1937,"Hendrik Zwang (1875-1937) was sigarenmaker en na 1921 sigarenwinkelier aan de Nassaulaan. Hij werd bekend als medeoprichter van woningbouwvereniging &lsquo;Volkshuisvesting&rsquo; in 1916. Deze vereniging behartigde onder meer de belangen van arbeiders. Hun woningen lieten in die tijd namelijk te wensen over. Ter nagedachtenis aan Zwang werd in 1937 dit borstbeeld onthuld in Wippolder, waar destijds het zwaartepunt lag van de bouwactiviteiten van &lsquo;Volkshuisvesting&rsquo;.
Henk Etienne maakte ook Dirk Coster en Koningin Wilhelmina.
Bron:
Geneologische Vereniging Prometheus, Genealogische en historische encyclopedie van Delft, Delft 1988",,52.0080468652293,4.37617152929306,10
