COUNTER;TITEL;INHOUD;MATERIAAL;LOCATIE_TOEVOEGING;BEELDMATERIAAL_BIJSCHRIFT;BEELDMATERIAAL_FOTOGRAAF;TEKST_AUTEUR;URL_HGA;LOCATIE;LAT;LON;HUISNUMMER;STRAATNAAM;KUNSTENAAR;KUNSTENAAR1;KUNSTENAAR2;KUNSTENAAR3;X;Y
7;Rondanini;"<p>Licht: daar draait het om in het werk van André Kruysen. Het is voor hem tegelijkertijd onderwerp en materiaal. Immers de constructie van zijn vaak monumentale bouwsels wordt bepaald door de wijze waarop licht aanwezig is op de plaats waar hij aan de slag gaat. Op hun beurt sturen die hagelwitte, architectonisch aandoende bouwsels weer het licht of de lichtval. Opvallend is daarbij het contrast tussen de opengebroken, gedeconstrueerde ruimte met de schots en scheef staande vlakken en de sereniteit die de installatie uitstraalt. Kruysen maakt licht voelbaar, bijna magisch.</p>
<p>Cruciaal voor zijn werk is een ervaring die de kunstenaar in zijn jeugd had bij de rots Vedra (Ibiza). Tijdens het duiken kwam hij in een grot terecht. De magie die daar heerste heeft hij op geen enkele andere plek teruggevonden. Daarnaast is zijn interesse van belang voor architecten/kunstenaars als Le Corbusier, Struycken en Schwitters. De eerste twee vanwege hun streven naar pure vorm, kleur en (ruimtelijke) verhoudingen, de laatste door zijn antikunst.</p>
<p>Kruysens sokkelbeeld ‘Rondanini’ verwijst zoals de titel al aangeeft naar het gelijknamige laatste beeld van Michelangelo: een Piëta. Ook in het abstracte sokkelbeeld kun je nog de figuren van Maria die haar gestorven zoon Christus in haar armen houdt, ontwaren. Kruysen heeft de ruimte boven de sokkel opgevat als een ovale buis. Die heeft hij in stukken gesneden en vervolgens weer opgebouwd met de Rondanini-piëta in gedachten. Door de verschillende richtingen in de sculptuur is onduidelijk of Maria en Christus zich samen staande houden of dat Christus wegglijdt. In Kruysens installaties is diezelfde ambivalentie zichtbaar in het wankele evenwicht tussen constructie en deconstructie.<br />
Uiteraard is er ook licht in het sokkelbeeld aanwezig. Het matzwarte patina van het brons slaat wit uit als er direct zonlicht op valt. Daardoor worden de contrasten met de schaduwplekken nog groter.</p>
";Brons;;Rondanini, André Kruysen, 2005;Ralph Kämena;Lidwien Nielander, eindredactie Sandra Spijkerman;https://www.orenenogentekort.nl/wp-content/uploads/2021/09/Kopie-van-35.-Andre-Kruysen-Rondanini.mp3;Grote Marktstraat 37, 2511 BH Den Haag, Nederland;52.07607679032272;4.311041587596911;37;Grote Marktstraat;Kruysen, André;;;;81225.1488039413;454746.498807377
8;Intersection;"<p>‘De vormen die zich in de wereld voordoen – de monumentale vorm van een vliegtuig, de blokken basalt van een pier of van een brugconstructie – ze hebben voor mij meer met beeldhouwkunst te maken dan de objecten die op de academie als kunst worden aangemerkt. Het gaat om vormen door mensen gemaakt, maar zonder de pretentie kunstwerk te zijn. Ze zijn onveranderlijk en hebben een natuurlijke aanwezigheid.&#8217;</p>
<p>&#8216;Dit is de visie van kunstenaar Lon Pennock, maker van het sokkelbeeld ‘Intersection’.<br />
Het beeld bestaat uit twee L-vormige balken, volgens Pennock een kruisbeeld met verschoven assen en een gedraaid hart. Het beeld lijkt een kleinere weergave van zijn karakteristieke werk. Dat is groot van schaal en heeft door kleur en materiaal het uiterlijk van een industriële constructie. Voorbeelden zijn ‘Intersection’ in Kijkduin, twee meer dan manshoge cortenstalen rechthoeken, en de twee metershoge pilaren ‘The River’ die in 1984 op de Blaak in Rotterdam zijn geplaatst.</p>
<p>Hoewel Pennock in de jaren zestig is opgeleid in de figuratieve traditie, ontwikkelde zijn werk zich al snel tot ‘concrete kunst’. De kunstenaar, voormalig directeur van de Rotterdamse kunstacademie en adviseur op stedenbouwkundige en verwante terreinen, heeft zich gedurende zijn hele carrière gewijd aan een zorgvuldig onderzoek van het materiaal en aan de wijze waarop het beeld zich verhoudt tot zijn omgeving.</p>
<p>Pennock was er niet voor dat een beeld op een sokkel zou staan. Het zou afstand scheppen. ‘Je moet over ze kunnen struikelen’, was zijn devies. Omdat de sokkel in het project van Struycken de bindende factor is en past binnen een stedenbouwkundige visie, zette Pennock zich over zijn bezwaar heen.</p>
";Staal;;Intersection, Lon Pennock, 1996;Ralph Kämena;Lidwien Nielander, eindredactie Sandra Spijkerman;https://www.orenenogentekort.nl/wp-content/uploads/2021/09/Kopie-van-33.-Lon-Pennock-Intersection.mp3;Grote Marktstraat 16a, 2511 BJ Den Haag, Nederland;52.075821268236005;4.310183280712145;16a;Grote Marktstraat;Pennock, Lon;;;;81165.8898803277;454718.94453889
9;Zonder titel;"<p>De beelden van Alfred Eikelenboom hebben bijna nooit sokkels. En als ze er al een hebben, vormen ze meestal geen ondergeschikt element. Ook bij zijn sculptuur voor de Beeldengalerij in het centrum van Den Haag is dat het geval. De sokkel is een essentieel onderdeel van het totale beeld. Eikelenboom heeft daarin een eenheid bereikt door middel van vorm- en kleurherhaling. De ovale vorm van de sokkel komt terug in de zuilen. En het grijs van de sokkel gaat naadloos over in het grijs van het beeld. Trouwens, als hij geen grijsgemoffelde sokkel had gekregen, had hij hem wel grijs gemaakt. Want bijna alle beelden van Eikelenboom zijn grijs. Het gaat hem namelijk zuiver om vorm, niet om kleur.</p>
<p>Eikelenboom wijdt zich al sinds het eind van de jaren zestig aan vormonderzoek. De resultaten ervan noemt hij ‘utopische modellen&#8217;: beelden die zijn ideeën over de architectuur weergeven. Zijn sokkelbeeld is zo&#8217;n ‘utopisch model&#8217;. Het uitgangspunt voor de stalen sculptuur is de paddenstoel. Met de twee ovale zuilen en het bolvormige kapiteel ter afsluiting heeft Eikelenboom de plant een architecturaal uiterlijk gegeven.</p>
<p>Hoewel de bouwkunst zijn bijzondere belangstelling geniet, ontleent hij zijn beeldende vocabulaire aan de natuur, bijvoorbeeld de paddenstoel, en aan vormen die juist niet in de architectuur voorkomen. Want terwijl daar kubus en vierkant zegevieren, baseert Eikelenboom zich op kegelsneden, cirkels en afgeronde rechthoeken. Met zijn ‘utopische modellen&#8217; wil Eikelenboom een nieuwe beeldtaal voorleggen aan architecten en stedenbouwers. De modellen zijn daarom geen maquettes, maar futuristische visies. Geen zweverig gedroom, geen vlucht of uiting van onvrede, maar een vorm van opbouwende kritiek. Hij biedt met een keur aan vormen architecten een alternatief voor het eentonige bouwen met blokken. En dat blijft hij doen.</p>
<p>Momenteel is dit beeld gestationeerd in het Zuiderpark.</p>
";Staal;;Zonder titel, Alfred Eikelenboom, 1994. Locatie Beeldengalerij centrum Den Haag.;Ralph Kämena;Sandra Spijkerman;https://www.orenenogentekort.nl/wp-content/uploads/2022/02/Alfred-Eikelenboom-zonder-titel.mp3;Meester P. Droogleever Fortuynweg 24, 2533 SR Den Haag, Nederland;52.0572202788878;4.290434175735491;24;Meester P. Droogleever Fortuynweg;Eikelenboom, Alfred;;;;79780.8149765681;452669.86276834
13;Bellevue-toren;"<p>Er staat een juweeltje in het centrum van Den Haag. Sonja Oudendijk heeft in haar sokkelbeeld kostbaar ogende materialen verwerkt als r.v.s., messing en email. Het blinkt als goud en glimt als edelstenen. Het beeld, dat als een huls om zijn sokkel is geschoven en tien centimeter boven de grond zweeft, is getiteld ‘Bellevue-toren’ (Mooi uitzicht toren).<br />
Sinds 1983 maakt Oudendijk beelden uit contrasterende materialen als bont en koper, hout en glas. Overheersten de eerste jaren vooral organische vormen, na 1985 ontstaan er daarnaast ook strakke, ritmische composities. Oudendijk toont haar beelden meestal in een zorgvuldig ingerichte omgeving met als resultaat een vervreemdende, magische sfeer. Haar ideeën doet ze op tijdens verre reizen. Belangrijkste inspiratiebron vormden rituelen, machtssymbolen en fetisjisme (objectverering).</p>
<p>Bekend zijn Oudendijks krukjes. Meegenomen uit alle delen en culturen van de wereld goot ze deze zitmeubels af en presenteerde zij die als (gebruiks)sculpturen. Volgens de kunstenaar vertellen de oude krukjes iets over de gewoonten van een bepaalde bevolkingsgroep. Bovendien lijken ze te willen aangeven dat we vaker de tijd voor elkaar moeten nemen om met elkaar te praten.</p>
<p>Of ‘Bellevue-toren’ ironisch of letterlijk te nemen is, laat Oudendijk aan de kijker over. Door de gebruikte materialen straalt haar sokkelbeeld grandeur uit die ook de hofstad zich aanmeet. De gestileerde ooievaar uit het stadswapen van Den Haag is expliciet, de pastilles verwijzen naar een hofnar. De puntige, gouden bovenkant lijkt op een kroon en verwijst weer indirect naar de koninklijke familie die hier woont en werkt.<br />
Met ‘Bellevue-toren’ levert Oudendijk voor de stad Den Haag een beeldende metafoor, die verschillende betekenislagen kent. Karakteristiek is haar gevoel voor esthetiek en detaillering. Dat geldt eveneens voor haar interesse in de waarde van tradities en culturen. In ‘Bellevue-toren’ heeft Oudendijk de historische en culturele eigenheden van Den Haag samengebracht.</p>
<p>Momenteel is dit beeld gestationeerd in het Zuiderpark.</p>
";Roestvaststaal, messing en email;;Bellevue-toren, Sonja Oudendijk, 1993. Locatie Beeldengalerij centrum Den Haag.;Ralph Kämena;Nicole Spaans, eindredactie Sandra Spijkerman;https://www.orenenogentekort.nl/wp-content/uploads/2022/02/Sonja-Oudendijk-Bellevue-toren.mp3;Meester P. Droogleever Fortuynweg 24, 2533 SR Den Haag, Nederland;52.0571246239607;4.290608519321459;24;Meester P. Droogleever Fortuynweg;Oudendijk, Sonja;;;;79792.6105381388;452659.040585422
14;Vriendinnen;"<p>Er staat beslist een interessant nieuwtje op de iPad. Zo geconcentreerd kijken de twee jonge, modern geklede vrouwen naar het scherm. Gewapend met tas, iPad en hoofddoeken lopen ze samen door de stad. Dit intieme en dagelijkse tafereel is het onderwerp van het veertigste sokkelbeeld van De Beeldengalerij. Beeldhouwer Tony van de Vorst is de maker van dit kleurrijke en tegelijkertijd ingetogen beeld van de twee vriendinnen.</p>
<p>Hoe gewoon ook in het straatbeeld, het gebeurt niet vaak dat moslima&#8217;s terug te zien zijn in een sculptuur. Struycken, de initiator van De Beeldengalerij, zag dit als een omissie en nodigde Van de Vorst uit een beeld te maken van een moslimvrouw. Zij verdiept zich doorgaans in de schoonheid en de kracht van vrouwen uit allerlei culturen.</p>
<p>Met haar oeuvre van figuratieve sculpturen in steen, hout, brons en gips geniet ze grote landelijke bekendheid. Museum Beelden aan Zee in Scheveningen bezit van haar bijvoorbeeld een borstbeeld van koningin Máxima en een kolossale, roodmarmeren Mond. In al haar sculpturen combineert Van de Vorst gedegen ambachtelijkheid met poëtische verbeelding en kennis van de kunstgeschiedenis. Het expressieve kleurgebruik gaat terug op de bonte heiligenbeelden uit haar Brabantse jeugd.</p>
<p>Aan het begin van haar carrière maakte Van de Vorst voor de Prix de Rome (1975) een beeld van twee vriendinnen uit de wereld van de beroemde negentiende-eeuwse, Nederlandse schilder Breitner. Dat beeld is inspiratiebron voor het nieuwe sokkelbeeld. Twee leerlingen van het ROC Tilburg poseerden er speciaal voor. De uiteindelijke sculptuur is echter geen goed lijkend portret, maar een mix van de modellen en ander beeldmateriaal. De hoofddoek omlijst hun gezicht, waardoor ogen, neus en mond extra expressie krijgen. Zo heeft Van de Vorst, net als Breitner vroeger, vrouwen uit steden van nu verbeeld. Mooi, eigenzinnig en sterk.</p>
";Brons, beschilderd;;Vriendinnen, Tony van de Vorst, 2014;Ralph Kämena;Sandra Spijkerman;https://www.orenenogentekort.nl/wp-content/uploads/2021/09/Kopie-van-32.-Tony-van-der-Vorst-Vriendinnen.mp3;Wagenstraat 53, 2512 AP Den Haag, Nederland;52.076333959462275;4.311516338592547;53;Wagenstraat;Vorst, Tony van de;;;;81258.1170715182;454774.626563252
15;Phyllotaxis Den Haag;"<p>Leent de levende natuur zich als materiaal voor kunst? Omstreeks 1969 bewees beeldhouwer Sjoerd Buisman dat het mogelijk is kunstwerken te maken van levende planten en bomen. Hij was de eerste Nederlandse kunstenaar die experimenteerde met de natuur als alternatief voor steen en brons.</p>
<p>Buisman strooide vogelzaad op een vochtige molton deken, wachtte tot de kiemen wortelden in de stof, hing de deken op, en zie: er ontstond een levend ‘schilderij’. Buisman hield de deken vochtig, waardoor de plantjes bleven groeien, naar het licht en tegen de zwaartekracht in, omhoog dus.</p>
<p>Buisman is als kunstenaar onderzoeker en manipulator van de natuur. Hij laat zien dat natuur maakbaar is, maar groeit volgens haar eigen wetmatigheden. Zo zette hij wilgen met de kruinen in de aarde, de wortels doelloos in de lucht. De kruinen vormden wortels en aan de wortels ontsproten takken. De boom had zichzelf omgekeerd. Omstreeks 1980 raakte Buisman geboeid door een bijzondere vorm in de natuur: phyllotaxis. Het is de botanische term voor de groepering van bladeren rond een stam. Bleekselderij is een mooi voorbeeld van spiraalvormige phyllotaxis. Zijn fascinatie voor deze variant had vooral te maken met de symboolwaarde van de spiraal, die volgens Buisman staat voor het continue proces van leven en dood en van groei en ontbinding. Hij gebruikt het motief in zijn beelden van hout, brons, beton en gietijzer.</p>
<p>Voor de Beeldengalerij maakte hij ‘Phyllotaxis Den Haag’. De sculptuur in het stadscentrum is opgebouwd uit een schijnbaar wankele stapel boomstammetjes met elk een schuine bovenzijde. Ze lijken een stengel te vormen, uitvergroot en geabstraheerd. Buisman laat met zijn sokkelbeeld zien dat elke nieuwe scheut weg van het centrum en naar boven wil, naar de top. En dat de natuur zelf &#8211; volgens het phyllotaxisprincipe &#8211; haar ultieme balans zoekt.</p>
";Brons;;Phyllotaxis Den Haag, Sjoerd Buisman, 2003;Ralph Kämena;Nicole Spaans, eindredactie Sandra Spijkerman;https://www.orenenogentekort.nl/wp-content/uploads/2021/09/Kopie-van-35.-Sjoerd-Buisman-Phyllotaxis.mp3;Grote Marktstraat 20A, 2511 BJ Den Haag, Nederland;52.07599436400294;4.310738497978228;20A;Grote Marktstraat;Buisman, Sjoerd;;;;81204.2359488443;454737.636924385
10;EN/OF;"<p>Taal en teken. Het zijn de bouwstenen voor zijn beelden sinds het begin van de jaren tachtig. Marc Ruygrok houdt zich in tekeningen, foto’s en sculptuur bezig met letters, woorden en korte zinnen. Bij zijn koperen sokkelbeeld ‘EN/OF’ uit 1993 is dat ook het geval.</p>
<p>Op z’n sokkel in het centrum van Den Haag is Ruygroks beeld een duidelijk statement. ‘EN/OF’ verwijst naar de talloze keuzes die we moeten maken daar waar je van alles wordt aangeboden en je wordt overladen met visuele indrukken. Tegelijkertijd zorgt het beeld voor een rustpunt, doordat het in typografisch opzicht afwijkt van de chaotische winkellogo’s. De strakke letters zijn per woord op elkaar gestapeld. De twee woorden staan rug aan rug met het schuine streepje als plaat rechtop ertussen. Hierdoor heeft het kunstwerk de vorm van een compact bouwwerk dat staat als een huis.</p>
<p>De robuuste vormen van Ruygroks kunst doen vaker denken aan de architectuur. Zijn ruimtelijke taalbeelden zijn bijvoorbeeld net als bouwkunst sterk verbonden met de omgeving waar ze zijn geplaatst. Kijk maar naar het Haagse sokkelbeeld of naar ‘Hier’ dat in 1993 bij Museum de Paviljoens in Almere is geplaatst. Uit een enorme bol van koper is het woord ‘hier’ gespaard. Ruygrok zet de nuchtere plaatsaanduiding echter op losse schroeven door de bol draaibaar te maken. De kijker mag zelf bepalen wat ‘hier’ is.</p>
<p>‘Hier’ en ‘EN/OF’ zijn typische Ruygrok-beelden. Het zijn extreem korte gedichten die raadselachtig kunnen overkomen. Ze laten zijn voorkeur zien voor geometrische vormen, zoals de rechthoek en de cirkel. Met deze oervormen en voor iedereen herkenbare tekens ontwikkelde Ruygrok zijn eigen beeldende vocabulaire.</p>
";Rood koper, gebronsd;;EN/OF, Marc Ruygrok, 1993.;Ralph Kämena;Nicole Spaans, eindredactie Sandra Spijkerman;https://www.orenenogentekort.nl/wp-content/uploads/2021/09/Kopie-van-13.-Marc-Ruygrok-EN-OF.mp3;Kalvermarkt 81, 2511 CB Den Haag, Nederland;52.078618912759424;4.318601348162856;81;Kalvermarkt;Ruygrok, Marc;;;;81747.5358956205;455021.655106159
11;Beeld;"<p>Rien Monshouwer heeft een aantal opmerkelijke sporen achtergelaten in de openbare ruimte. Een deel daarvan is blijvend, een ander deel tijdelijk. Rode draad in de artistieke ingrepen van de kunstenaar is zijn onderzoek naar het effect van woorden, kleuren, betekenissen en vormen op de omgeving waarin ze voorkomen. Hij brengt verslag uit van zijn bevindingen in de vorm van beelden, schilderijen en installaties. Daarbij gaat het zowel om locatiespecifieke ingrepen als om beeldende kunst die niet gebonden is aan een bepaalde plek.</p>
<p>In 1996 realiseerde Monshouwer in de bibliotheek van het nieuwe stadhuis in Den Haag een installatie in de vorm van een (bibliotheek)ladder die tegen een wand geplaatst is. Op die wand zijn foto’s van particuliere boekenkasten aangebracht. Met zijn sculptuur voor de Beeldengalerij volgt Monshouwer een ander traject. Hij maakt met dit sokkelbeeld de relatie tussen woord en beeld zichtbaar. De kunstenaar speelt met de onderlinge verschillen tussen woordbeelden en beeldtekens. Hij transformeert het woord tot beeld. Daardoor krijgt het begrip ‘beeldtaal’ letterlijk vorm. Maar de kunstenaar gaat nog een stap verder. Zijn ‘woordbeeld’ is een monument voor de taal en tegelijk manifesteert het bouwwerk van brons zich als een open architectonische constructie.</p>
<p>Monshouwer heeft doelbewust gekozen voor een strakke vormgeving. Door de open constructie van de gestapelde letters B – E – E – L – D is een soort toren of zuil ontstaan die vanuit verschillende gezichtspunten steeds van hoedanigheid verandert. Vanuit bepaalde invalshoeken is het woord zelfs zodanig beeld geworden dat het niet meer te herkennen is.</p>
";Brons;;Beeld, Rien Monshouwer, 1994;Ralph Kämena;Wim van der Beek, eindredactie Sandra Spijkerman;https://www.orenenogentekort.nl/wp-content/uploads/2021/09/Kopie-van-39.-Rien-Monshouwer-beeld.mp3;Grote Marktstraat 1, 2511 BH Den Haag, Nederland;52.07559591727719;4.309624174229634;1;Grote Marktstraat;Monshouwer, Rien;;;;81127.1906126233;454694.443007309
12;For whom the bell tolls;"<p>Gebouwtjes met hoge torens, vogels met feestmutsen en honden met kruisen: de beeldtaal van Joost van den Toorn is eigenzinnig, humoristisch en bevat magische, mythische en groteske elementen. Sinds het einde van de jaren tachtig maakt hij vooral bronzen beelden. Daarin vermengt hij doorlopend westerse en niet-westerse symbolen uit kunst én kitsch. Thema’s als dood, religie en seks keren regelmatig terug.</p>
<p>Van den Toorns sokkelbeeld vond zijn oorsprong in Istanbul. Daar verbleef de beeldhouwer toen de Balkan-oorlog uitbrak. Aanleiding was zijn verwondering over de berichtgeving en de beelden in de media die daar vanuit een ander perspectief dan in Nederland werden gepresenteerd. Zo werd wat in Nederland als een kruisraketinslag wordt gebracht, daar gezien als genocide op moslims.</p>
<p>De televisie in Istanbul toonde fascinerende beelden van een raket die horizontaal op een minaret afschoot om vervolgens te ontploffen. Die televisiebeelden vormden het vertrekpunt voor het sokkelbeeld van Van den Toorn. Vandaar bijvoorbeeld de toren. De vorm van die toren met bel heeft hij echter afgeleid van een grafmonument dat hij, eveneens in Istanbul, op een begraafplaats voor derwisjen (islamitische mystici van het soefisme) aantrof.</p>
<p>Toen het klaar was, heeft Van den Toorn aan dit sokkelbeeld de titel ‘For whom the bell tolls’ gegeven. Daarmee verwijst hij naar het gelijknamige boek dat Ernest Hemingway schreef over de Spaanse burgeroorlog. Deze wereldberoemde Britse auteur bekijkt eveneens vanuit een ander land en een ander perspectief een oorlog.</p>
<p>Je zou kunnen zeggen dat Van den Toorns sokkelbeeld de tegenhanger is van ‘Asylum’, de sculptuur die hij in 1996 voor het nieuwe gerechtshof in Rotterdam heeft gemaakt. Verbeeldt dat beeld een eenpersoonskathedraal, ‘For whom the bell tolls’ refereert aan een moskee. Hoewel je dat aan de vorm niet direct afleest, gaat het bij allebei om een plek van bezinning.</p>
";Brons;Op de hoek bij de Lange Poten;For whom the bell tolls, Joost van den Toorn, 1993;Ralph Kämena;Nicole Spaans, eindredactie Sandra Spijkerman;https://www.orenenogentekort.nl/wp-content/uploads/2021/09/Kopie-van-1.-Joost-van-der-Toorn-for-whom-the-bell-tolls.mp3;Lange Poten 1, 2511 CL Den Haag, Nederland;52.07837506115981;4.314060893362437;1;Lange Poten;Toorn, Joost van den;;;;81435.90297216;454999.117949042
1;Veelhoofd;"<p>Zijn het nu schedels of aardappelachtige hoofden? Dat vraag je je af als je van een afstandje naar de stapeling aluminium vormen kijkt die op een van de sokkels in het centrum van Den Haag staat. Ook op kortere afstand blijkt dat je daar geen duidelijkheid over krijgt.</p>
<p>Dit sokkelbeeld Veelhoofd is gemaakt door Atelier Van Lieshout, de internationaal bekende studio van kunstenaar Joep van Lieshout (1963). Hij runt zijn atelier in het Rotterdamse havengebied als een bedrijf en heeft zo’n twintig mensen in dienst. Atelier Van Lieshout produceert alle beelden, meubilair, mobilehomes en theaterdecors die Van Lieshout bedenkt. Kenmerkend voor de vaak grensverleggende ontwerpen van Atelier Van Lieshout is het gebruik van polyester, gespoten in uitgesproken kleuren variërend van gifgroen en knaloranje tot modderbruin.</p>
<p>Veel van de werken van Van Lieshout gaan over macht en arbeid, over politiek en revolutie en over een zelfvoorzienende samenleving. Bovendien is hij gefascineerd door de mens en de systemen die hij bouwt én door klassieke onderwerpen als leven en dood. Zijn beelden en installaties laten ons het effect zien van onze steeds efficiënter wordende samenleving. Tegelijkertijd verschaffen ze ons zicht op hoe we ons hierin als individu staande kunnen houden. Of eraan kunnen ontsnappen.</p>
<p>Van Lieshouts ontwerpen zijn even onorthodox als kritisch en tegendraads. Zo biedt SlaveCity (20052009) een blik op een utopische samenleving waar maximale winst het uitgangspunt is en verbeeldt Foodmaster (2009) een uiterste consequentie van onze geïndustrialiseerde voedselproductie. Dit kunstwerk toont een systeem waarbij ook mensenvlees tot voedsel wordt verwerkt. Naast deze grotere series, veelal uitgevoerd in polyester, werkt Van Lieshout ook aan kleinschaliger werken, vaak in brons of aluminium. In deze lijn past ook het sokkelbeeld Veelhoofd. Van Lieshout is nooit helemaal helder over de betekenis van zijn beelden. Het lijkt meer een optelsom van associaties: doodshoofden, aardappeleters, suikerbieten, Halloweenmaskers.</p>
";Aluminium;;Veelhoofd, Atelier van Lieshout, 2010;Ralph Kämena;Sandra Spijkerman;https://www.orenenogentekort.nl/wp-content/uploads/2021/09/Kopie-van-31.-Atelier-van-Lieshout-Veelhoofd.mp3;Wagenstraat 32, 2512 AX Den Haag, Nederland;52.07651364727674;4.311983042961138;32;Wagenstraat;Atelier van Lieshout;;;;81290.4056961645;454794.142893178
