X,Y,Council_,Latitude,Longitude,Artist_,Artwork_title_,Location_,Year_,Profile_Page,Profile_Image,ObjectId
-709674.889507033,7056427.09257281,Fingal County Council,53.39515,-6.375118,Wiktoria Zagorowicz,Steel Teal',"Aisling Heights/Snugborough Road, Blanchardstown, Dublin.",2020,https://www.dublincanvas.com/dublin-canvas-artist-profiles/wiktoria-zagorowicz,https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5f95d830f00d8be645b3da1c_Steel%20Teal%20by%20Wiktoria%20Zagorowicz%20-%20Fingal%20-%202020%20(1).jpg,1
-681255.914063436,7055271.03062022,Fingal County Council,53.388957,-6.119826,Gerry Banks,Crab Water',"Binn Eadir View/Dublin Road, Burrow, Dublin 13",2018,https://www.dublincanvas.com/dublin-canvas-artist-profiles/gerry-banks,https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e25b4c09b89b676f84957c5__CRAB%20WATER_%20by%20Bruer%20(Gerry%20Banks)%202.jpg,2
-709634.814490347,7054697.44887682,Fingal County Council,53.385884,-6.374758,Maximilian Cope,The Guardian',"Blanchardstown Village, Blanchardstown, Dublin 15.",2018,https://www.dublincanvas.com/dublin-canvas-artist-profiles/maximilian-cope,https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e25b725acccd17351179ed4_The%20Guardian%20and%20the%20Dreamer%20by%20Maximilian%20Cope%20%20(2).jpg,3
-692397.1026605,7068409.41574279,Fingal County Council,53.459286,-6.219909,Alanna Galvin,Black Raven',"Bridge Street, Swords Main Street, Swords, Dublin.",2018,https://www.dublincanvas.com/dublin-canvas-artist-profiles/alanna-galvin,https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e1f5cfd06261448435229c7_Funky%20in%20Fingal%20by%20Alanna%20Galvin%202.jpg,4
-712571.311337983,7054130.81391476,Fingal County Council,53.382848,-6.401137,Eva Kelly,Daydreaming',"Clonsilla Road, Clonsilla, Dublin 15.",2018,https://www.dublincanvas.com/dublin-canvas-artist-profiles/eva-kelly-2,,5
-712837.364920979,7054019.39539031,Fingal County Council,53.382251,-6.403527,Claire Murphy,a time to refrain from embracing',"Clonsilla Street/Diswellstown Road, Clonsilla, Dublin.",2020,https://www.dublincanvas.com/dublin-canvas-artist-profiles/claire-murphy-2,https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5f9456553e883ec60188e4b9_a%20time%20to%20refrain%20from%20embracing%20by%20Claire%20Murphy%20-%20Fingal%20-%202020%20(27).jpg,6
-688940.85511035,7092505.17365038,Fingal County Council,53.587967,-6.188861,Bart Doroszko,Mercyful',"Coach Road, Balrothery, North Dublin.",2018,https://www.dublincanvas.com/dublin-canvas-artist-profiles/bart-doroszko,https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e24c07b992bfafbf230313b_Mercyful%20by%20Bart%20Doroszko%202.jpg,7
-682428.21962098,7065840.70652372,Fingal County Council,53.445545,-6.130357,Claire Blackwell,The Bathers',"Coast Road, Robswall, Malahide, County Dublin",2018,https://www.dublincanvas.com/dublin-canvas-artist-profiles/clare-blackwell-2,https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e24c0e0992bfadb2130527d_The%20Bathers%20by%20Clare%20Blackwell%203.jpg,8
-688943.304139147,7097203.04628947,Fingal County Council,53.61301,-6.188883,Patrick Dalton,Seagull Photobomber',"Drogheda Street/Lambeecher, Balbriggan, North Dublin",2018,https://www.dublincanvas.com/dublin-canvas-artist-profiles/patrick-dalton,https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e25b8209b89b613f6496835_Seagull%20Photobomber%20by%20Patrick%20Dalton.jpg,9
-687599.566565782,7063512.55624923,Fingal County Council,53.433087,-6.176812,Marie Armstrong,Great Day for the Drying',"Feltrim Road/Malahide Road, Malahide, Dublin.",2020,https://www.dublincanvas.com/dublin-canvas-artist-profiles/marie-armstrong,https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5f945eeeefe78dcd24541c8b_Great%20Day%20for%20the%20Drying%20by%20Marie%20Armstrong%20O%E2%80%99Leary%20-%20Fingal%20-%202020%20(4).jpg,10
-689650.182905685,7097122.17047098,Fingal County Council,53.612579,-6.195233,Sylwia Singh,Bremore Castle',"Harry Reynolds Road , Balbriggan, Dublin.",2020,https://www.dublincanvas.com/dublin-canvas-artist-profiles/sylwia-singh,https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5f95d742ff9391fd3fe96754_Bremore%20Castle%20by%20Sylwia%20Singh%20%E2%80%93%20Fingal%20-%202020%20(14).jpg,11
-689476.85845852,7096457.36875143,Fingal County Council,53.609036,-6.193676,Bernie Davis,Wildflowers',"Harry Reynolds Road/Chapel Street, Balbriggan, Dublin.",2020,https://www.dublincanvas.com/dublin-canvas-artist-profiles/bernie-davis,https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5f9453fa8b955b5f48f79188_Wildflowers%E2%80%99%20by%20Bernie%20Davis%20-%20Fingal%20-%202020%20(3).jpg,12
-689200.006884917,7097532.1874874,Fingal County Council,53.614764,-6.191189,Alison O'Grady,The Reynolds Brother',"Harry Reynolds Road/Drogheda Street, Balbriggan, North Dublin.",2018,https://www.dublincanvas.com/dublin-canvas-artist-profiles/alison-ogrady-3,https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e1f60db9aad6626e8d68e53_The%20Reynolds%20Brothers%20-%20World%20Cycling%20Champions%20by%20Alison%20O%20Grady%204.jpg,13
-717613.193714992,7049998.54945302,Fingal County Council,53.360701,-6.446429,Maureen Kelly Fox,Strawberry Fields Forever’,"Laraghcon Road , Lucan, Dublin.",2020,https://www.dublincanvas.com/dublin-canvas-artist-profiles/maureen-kelly-fox-4,https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5f946584182961d731f18192_Strawberry%20Yields%20Forever%20by%20Maureen%20Kelly%20Fox%20%E2%80%93%20DCC%20-%202020%20(1).jpg,14
-686136.049220323,7080689.98420402,Fingal County Council,53.524918,-6.163665,Marie Gordan,Say Hey',"Lusk Main Street, Lusk, County Dublin.",2018,https://www.dublincanvas.com/dublin-canvas-artist-profiles/marie-gordan,https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e25b63fdbdfb60ec085b786_Say%20Hey%20by%20Marie%20Gordan%202.jpg,15
-678072.39926573,7080120.5549024,Fingal County Council,53.521877,-6.091228,John Fitzsimons,Luke Kelly',"Main St/Skerries Rd, Rush, North County Dublin.",2018,https://www.dublincanvas.com/dublin-canvas-artist-profiles/john-fitzsimons,https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e25b54a5cbbd6b64629df21_Luke%20Kelly%20by%20John%20Fitzsimons%202.jpg,16
-682098.37996976,7057139.33137851,Fingal County Council,53.398965,-6.127394,Leighann McElroy,Forever young',"Main Street, Baldoyle, Dublin.",2020,https://www.dublincanvas.com/dublin-canvas-artist-profiles/leighann-mcelroy,https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5f945966ce23b40d01f0a4c1_Forever%20Young%20by%20Leighann%20McElroy%20-%20DCC%20-%202020%20(3).jpg,17
-679622.077897063,7090814.8985076,Fingal County Council,53.578953,-6.105149,Mark Dooley,Na Sceiri',"Manning's Opening, Townparks, Skerries, Dublin.",2020,https://www.dublincanvas.com/dublin-canvas-artist-profiles/mark-dooley,https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5f9460173bcbdc276c57c238_Na%20Sceiri%E2%80%99%20by%20Mark%20Dooley%20%E2%80%93%20Fingal%20-%202020%20(5).jpg,18
-701532.314033468,7058122.38181684,Fingal County Council,53.40423,-6.301972,Shane Ha,Ice Cream Sunset',"Melville St Margaret's Road, Charlestown, Dublin 11",2018,https://www.dublincanvas.com/dublin-canvas-artist-profiles/shane-ha-4,https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e25c342040a694d9b093f54_Ice%20Cream%20Sunset%20by%20Shane%20Ha%20%20(6).jpg,19
-709213.692856676,7056970.36724804,Fingal County Council,53.39806,-6.370975,Abigail Nangle,Something Fishy Going On',"National Aquatic Centre, Snugborough Road, Deanestown, Dublin 15",2018,https://www.dublincanvas.com/dublin-canvas-artist-profiles/abigail-nangle,https://uploads-ssl.webflow.com/5e1339e448d7ea368be9a41f/5e53fe4c2bce245178cd1433_Something%20Fishy%20Going%20On%20by%20Abigail%20Nangle%204.jpg,20
