gid;Titre;Artistes;Nationalité;Description;rue;Numéro;Code postal;Date;Site;Geo Point;Geo Shape
11;Hall omnisports;J-BOY, OSREV, DENS, HOOKER, BRIFE, GERM, ORTEGA, RUSTY, ROES, POSEY, HYER, DONT, ECTO, ENOF, SALO, NESPA, KIDAR, PSOMAN, BRUCE, INFAR, DEMK et MEKAS;Belge;Peintures sur bardages métalliques (jam);bd de la Constitution;82;4020;2019;https://www.liege.be/fr/decouvrir/plein-air/art-public/palissart/palissart-jam-au-hall-omnisports-de-la-constitution;50.6449592247, 5.592425667;"{""coordinates"": [5.592425667, 50.6449592247], ""type"": ""Point""}"
2;Hermès;BLANCBEC;Belge;Peinture monumentale sur arrière de cellules commerciales;rue Saint-Martin-en-Ile;;4000;2020;https://www.liege.be/fr/decouvrir/plein-air/art-public/palissart/palissart-blancbec;50.6410599605, 5.5722699531;"{""coordinates"": [5.5722699531, 50.6410599605], ""type"": ""Point""}"
8;Wall of fame de Vivegnis;;;Mur d'expression libre, accessible à tous;rue des Haveurs;;4000;2012;https://www.liege.be/fr/annuaire/palissart/wall-of-fame-de-vivegnis;50.6530625643, 5.5901123261;"{""coordinates"": [5.5901123261, 50.6530625643], ""type"": ""Point""}"
26;Wall of fame du boulevard Kleyer;;;Mur d'expression libre, accessible à tous;boulevard Kleyer;191;4000;2017;https://www.liege.be/fr/decouvrir/plein-air/art-public/palissart/palissart-wall-of-fame-du-kleyer;50.6283039984, 5.5479810668;"{""coordinates"": [5.5479810668, 50.6283039984], ""type"": ""Point""}"
27;Sans titre;SPRAY CAN ARTS (stage);Belge;Peinture sur panneaux autour d'une cabine électrique;boulevard d'Avroy,rue des Bénédictines;;4000;2018;;50.6380552948, 5.5679998585;"{""coordinates"": [5.5679998585, 50.6380552948], ""type"": ""Point""}"
101;Love Letter from 2123;DAZETWO;Belge;Peinture sur bardages métalliques;bd de la Constitution;82;4020;2022;https://www.liege.be/fr/annuaire/palissart/33love-letter-par-dazetwo;50.6451797051, 5.5918161693;"{""coordinates"": [5.5918161693, 50.6451797051], ""type"": ""Point""}"
102;La Vierge d'Outremeuse;KAER;Belge;peinture sur pignon de briques;rue Grande Bêche;77;4020;2021;https://www.liege.be/fr/annuaire/palissart/24palissart-la-milagrosa-del-bario-kaer;50.6405477362, 5.5804655553;"{""coordinates"": [5.5804655553, 50.6405477362], ""type"": ""Point""}"
103;Pitteurs;COLLECTIF CJ (François MULLER, MYNT et DUMS);Belges;peintures sur mur du parking;rue Grande Bêche;77;4020;2021;https://www.liege.be/fr/annuaire/palissart/25palissart-pitteurs-collectif-cj;50.6405477362, 5.5804655553;"{""coordinates"": [5.5804655553, 50.6405477362], ""type"": ""Point""}"
108;Sainte-Marguerite;R-COLLECTIF;Belge;Peinture monumentale sur pignon de briques;rue Sainte-Marguerite;50;4000;2022;https://www.liege.be/fr/annuaire/palissart/29sainte-marguerite-par-le-r-collectif;50.6457018276, 5.5614604976;"{""coordinates"": [5.5614604976, 50.6457018276], ""type"": ""Point""}"
109;Baris Manço;Giuseppe BARILLARO;Belge;Peinture monumentale sur pignon de briques;rue des Hiercheuses;2;4000;2024;https://www.liege.be/fr/annuaire/palissart/35-hommage-baris-manco-par-giuseppe-barillaro;50.6380075712, 5.5442776688;"{""coordinates"": [5.5442776688, 50.6380075712], ""type"": ""Point""}"
15;Sans titre;JABA;Belge;Peinture monumentale sur mur;rue Delvoye;;4020;2003;https://www.liege.be/fr/decouvrir/plein-air/art-public/palissart/telechargement/cp-palissart.pdf;50.6409564398, 5.5817468895;"{""coordinates"": [5.5817468895, 50.6409564398], ""type"": ""Point""}"
19;Sans titre;WILLOOS;Belge;Peinture monumentale sur pignon arrière d'un immeuble;place d'Italie (arrière);;4020;2011;https://www.liege.be/fr/decouvrir/plein-air/art-public/palissart/telechargement/cp-palissart.pdf;50.6328374697, 5.5750546045;"{""coordinates"": [5.5750546045, 50.6328374697], ""type"": ""Point""}"
18;Hommage à Andy Warhol;Michaël NICOLAI et SOKE;Belge;Peinture monumentale sur mur pignon en éternit;rue Basse-Wez;22;4020;2020;https://www.liege.be/fr/decouvrir/plein-air/art-public/palissart/palissart-andy-warhol;50.6372450678, 5.5876135901;"{""coordinates"": [5.5876135901, 50.6372450678], ""type"": ""Point""}"
20;L'Homme de la Meuse/2;SOZYONE;Belge;Peinture monumentale sur pignon latéral d'un immeuble en brique;quai de la Boverie;10;4020;2019;https://www.liege.be/fr/decouvrir/plein-air/art-public/palissart/palissart-lhomme-de-la-meuse;50.6363946979, 5.5778293457;"{""coordinates"": [5.5778293457, 50.6363946979], ""type"": ""Point""}"
21;L'Homme de la Meuse/1;SOZYONE;Belge;Peinture monumentale sur pignon latéral d'un immeuble en éternit;quai de la Boverie;21;4020;2019;https://www.liege.be/fr/decouvrir/plein-air/art-public/palissart/palissart-lhomme-de-la-meuse;50.6356730779, 5.5772467609;"{""coordinates"": [5.5772467609, 50.6356730779], ""type"": ""Point""}"
23;Liège & Hasselt et Love;HONET et SPYKE;Française et Belge;Peintures monumentales sur murs de brique;rue Varin;81;4000;2016,2019;https://www.liege.be/fr/decouvrir/plein-air/art-public/palissart/palissart-liege-et-hasselt;50.6235495021, 5.5690567505;"{""coordinates"": [5.5690567505, 50.6235495021], ""type"": ""Point""}"
12;La Manivelle;2SHY;Belge;Peinture monumentale sur mur pignon de brique;bd de la Constitution;19;4020;2017;https://www.liege.be/fr/decouvrir/plein-air/art-public/palissart/palissart-2shy;50.6432458674, 5.583639143;"{""coordinates"": [5.583639143, 50.6432458674], ""type"": ""Point""}"
5;Crystal Flowers;OKUDA;Espagnole;Peinture monumentale sur béton;rue Saint-Georges;;4000;2014;https://www.liege.be/fr/decouvrir/plein-air/art-public/palissart/palissart-crystal-flowers;50.6463160782, 5.5802748765;"{""coordinates"": [5.5802748765, 50.6463160782], ""type"": ""Point""}"
